"TaxonID","SynName"
3657,"Pinus halepensis Miller ssp. brutia (Ten.) Holmboe"
6530,"Pinus kochiana Klotzsch ex K. Koch"
3669,"Pinus mugo Turra ssp. uncinata"
6530,"Pinus sylvestris L. var. hamata (Steven) Fomin."
3279,"Pistacia palaestina"
6325,"Plantago coronopus L. ssp. commutata (Guss.) Pilger"
3679,"Potentilla tabernaemontani Ascherson"
3723,"Poterium sanguisorba L."
3725,"Poterium spinosum L."
6902,"Pulsatilla alpina (L.) Delabre"
6903,"Pulsatilla montana (Hoppe) Reichenb."
6904,"Putoria calabrica (L. fil.) DC."
4067,"Quercus calliprinos Webb."
4009,"Quercus faginea Lam. ssp. valentina A. Bolós & O. Bolós"
4006,"Quercus humilis Miller"
4014,"Quercus ilex L. ssp. ballota (Desf.) Samp."
4014,"Quercus ilex L. ssp. rotundifolia (Lam.) T. Morais"
4006,"Quercus lanuginosa (Lam.) Thuill."
2915,"Rhamnus myrtifolius Willk."
7011,"Rhinanthus pumilus (Sterneck) Soldano"
2933,"Rosmarinus tournefortii"
2616,"Rostraria cristata (L.) Tzvelev"
5463,"Rubus discolor Boiss."
3722,"Salvia triloba L. fil."
3479,"Sarothamnus scoparius (L.) Wimmer ex Koch"
2976,"Satureja montana L. ssp. obovata (Lag.) O. Bolòs et J. Vigo"
3320,"Satureja myrtifolia (Boiss. & Hohen.) Greuter & Burdet"
3733,"Scabiosa atropurpurea L."
3879,"Scabiosa calocephala Boiss."
3735,"Scabiosa graminifolia L."
3737,"Scabiosa prolifera L."
4691,"Scabiosa reuteriana Boiss."
5935,"Scabiosa simplex Desf."
5938,"Scabiosa stellata L."
2993,"Scirpoides holoschoenus (L.) Sojak"
2995,"Scleranthus delortii Gren."
2998,"Scorpiurus subvillosus L."
2998,"Scorpiurus sulcatus L."
3000,"Scorzonera angustifolia L."
4977,"Scorzonera hispanica L. ssp. crispatula (Boiss.) Nyman"
3010,"Sedum nicaeense All."
6906,"Selaginella denticulata (L.) Spring"
6755,"Senecio coincyi Rouy"
6127,"Senecio vernalis Waldst. and Kit."
6881,"Serratula cichoracea (L.) DC. ssp. mucronata (Desf.) Jahandiez & Maire"
6881,"Serratula mucronata"
6736,"Silene decipiens Barceló"
6475,"Silene kotschyi Boiss"
6153,"Silene pompeiopolitana Gay. ex Boiss"
3048,"Simethis mattiazzii (Vandelii) Sacc."
5465,"Sorbus cretica (Lindl.) Fritsch"
4908,"Spiranthes spiralis (L.) Chevall"
